"Year","Question","Demographics_Type","Demographics_Value","Percent","Low_Confidence_Interval","High_Confidence_Interval","Confidence_Interval_Formatted","Data_Source"
"2021","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","Asian, NH","6.0","4.7","7.4","6.0 (CI 4.7-7.4)","NHIS"
"2021","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","Black, NH","10.0","8.8","11.2","10.0 (CI 8.8-11.2)","NHIS"
"2021","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","Hispanic","8.1","7.1","9.1","8.1 (CI 7.1-9.1)","NHIS"
"2021","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","Multiple/Other, NH","15.1","11.6","19.2","15.1 (CI 11.6-19.2)","NHIS"
"2021","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","NHOPI, NH","Suppressed","Suppressed","Suppressed","Suppressed","NHIS"
"2021","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","White, NH","10.0","9.5","10.6","10.0 (CI 9.5-10.6)","NHIS"
"2021","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Sex","Female","10.9","10.3","11.4","10.9 (CI 10.3-11.4)","NHIS"
"2021","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Sex","Male","8.2","7.7","8.8","8.2 (CI 7.7-8.8)","NHIS"
"2021","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Total","Total","9.6","9.2","10.0","9.6 (CI 9.2-10.0)","NHIS"
"2020","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Age","18-34 years","8.8","7.9","9.7","8.8 (CI 7.9-9.7)","NHIS"
"2020","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Age","35-64 years","8.6","8.0","9.2","8.6 (CI 8.0-9.2)","NHIS"
"2020","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Age","65+ years","13.2","12.3","14.2","13.2 (CI 12.3-14.2)","NHIS"
"2020","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","AI/AN, NH","17.5","12.3","23.7","17.5 (CI 12.3-23.7)","NHIS"
"2020","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","Asian, NH","7.1","5.5","9.1","7.1 (CI 5.5-9.1)","NHIS"
"2020","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","Black, NH","9.6","8.3","11.1","9.6 (CI 8.3-11.1)","NHIS"
"2020","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","Hispanic","7.9","6.8","9.1","7.9 (CI 6.8-9.1)","NHIS"
"2020","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","Multiple/Other, NH","16.6","12.5","21.3","16.6 (CI 12.5-21.3)","NHIS"
"2020","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","NHOPI, NH","Suppressed","Suppressed","Suppressed","Suppressed","NHIS"
"2020","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","White, NH","10.1","9.5","10.6","10.1 (CI 9.5-10.6)","NHIS"
"2020","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Sex","Female","11.0","10.3","11.7","11.0 (CI 10.3-11.7)","NHIS"
"2020","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Sex","Male","8.2","7.6","8.9","8.2 (CI 7.6-8.9)","NHIS"
"2020","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Total","Total","9.6","9.2","10.1","9.6 (CI 9.2-10.1)","NHIS"
"2019","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Age","18-34 years","8.3","7.5","9.1","8.3 (CI 7.5-9.1)","NHIS"
"2019","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Age","35-64 years","8.4","7.9","9.0","8.4 (CI 7.9-9.0)","NHIS"
"2019","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Age","65+ years","15.1","14.2","16.2","15.1 (CI 14.2-16.2)","NHIS"
"2019","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","AI/AN, NH","15.2","8.3","24.6","15.2 (CI 8.3-24.6)","NHIS"
"2019","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","Asian, NH","5.9","4.3","7.8","5.9 (CI 4.3-7.8)","NHIS"
"2019","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","Black, NH","10.5","9.3","11.8","10.5 (CI 9.3-11.8)","NHIS"
"2019","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","Hispanic","8.2","7.2","9.4","8.2 (CI 7.2-9.4)","NHIS"
"2019","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","Multiple/Other, NH","14.9","11.2","19.4","14.9 (CI 11.2-19.4)","NHIS"
"2019","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","NHOPI, NH","Suppressed","Suppressed","Suppressed","Suppressed","NHIS"
"2019","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","RaceEthnicity","White, NH","10.2","9.7","10.7","10.2 (CI 9.7-10.7)","NHIS"
"2019","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Sex","Female","11.2","10.6","11.8","11.2 (CI 10.6-11.8)","NHIS"
"2019","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Sex","Male","8.3","7.7","8.9","8.3 (CI 7.7-8.9)","NHIS"
"2019","Because of a physical mental, or emotional condition, do you have difficulty participating in social activities such as visiting friends, attending clubs and meetings, or going to parties?","Total","Total","9.8","9.4","10.2","9.8 (CI 9.4-10.2)","NHIS"
"2024","Composite measure of frequency and intensity of feelings of anxiety: How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never? AND Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?","Age","18-34 years","16.9","15.8","18.1","16.9 (CI 15.8-18.1)","NHIS"
"2024","Composite measure of frequency and intensity of feelings of anxiety: How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never? AND Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?","Age","35-64 years","11.8","11.2","12.5","11.8 (CI 11.2-12.5)","NHIS"
"2024","Composite measure of frequency and intensity of feelings of anxiety: How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never? AND Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?","Age","65+ years","6.9","6.3","7.5","6.9 (CI 6.3-7.5)","NHIS"
"2024","Composite measure of frequency and intensity of feelings of anxiety: How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never? AND Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?","RaceEthnicity","AI/AN, NH","18.1","11.7","26.1","18.1 (CI 11.7-26.1)","NHIS"
"2024","Composite measure of frequency and intensity of feelings of anxiety: How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never? AND Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?","RaceEthnicity","Asian, NH","6.5","5.1","8.1","6.5 (CI 5.1-8.1)","NHIS"
"2024","Composite measure of frequency and intensity of feelings of anxiety: How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never? AND Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?","RaceEthnicity","Black, NH","10.0","8.8","11.3","10.0 (CI 8.8-11.3)","NHIS"
"2024","Composite measure of frequency and intensity of feelings of anxiety: How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never? AND Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?","RaceEthnicity","Hispanic","9.3","8.4","10.3","9.3 (CI 8.4-10.3)","NHIS"
"2024","Composite measure of frequency and intensity of feelings of anxiety: How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never? AND Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?","RaceEthnicity","Multiple/Other, NH","21.2","17.0","25.8","21.2 (CI 17.0-25.8)","NHIS"
"2024","Composite measure of frequency and intensity of feelings of anxiety: How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never? AND Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?","RaceEthnicity","NHOPI, NH","13.5","6.9","22.7","13.5 (CI 6.9-22.7)","NHIS"
"2024","Composite measure of frequency and intensity of feelings of anxiety: How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never? AND Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?","RaceEthnicity","White, NH","13.6","13.0","14.2","13.6 (CI 13.0-14.2)","NHIS"
"2024","Composite measure of frequency and intensity of feelings of anxiety: How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never? AND Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?","Sex","Female","15.3","14.6","16.0","15.3 (CI 14.6-16.0)","NHIS"
"2024","Composite measure of frequency and intensity of feelings of anxiety: How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never? AND Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?","Sex","Male","8.8","8.2","9.4","8.8 (CI 8.2-9.4)","NHIS"
"2024","Composite measure of frequency and intensity of feelings of anxiety: How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never? AND Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?","Total","Total","12.2","11.7","12.6","12.2 (CI 11.7-12.6)","NHIS"
"2023","Composite measure of frequency and intensity of feelings of anxiety: How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never? AND Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?","Age","18-34 years","16.9","15.8","18.0","16.9 (CI 15.8-18.0)","NHIS"
"2023","Composite measure of frequency and intensity of feelings of anxiety: How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never? AND Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?","Age","35-64 years","12.4","11.7","13.1","12.4 (CI 11.7-13.1)","NHIS"
"2023","Composite measure of frequency and intensity of feelings of anxiety: How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never? AND Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?","Age","65+ years","7.0","6.4","7.6","7.0 (CI 6.4-7.6)","NHIS"
"2023","Composite measure of frequency and intensity of feelings of anxiety: How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never? AND Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?","RaceEthnicity","AI/AN, NH","24.9","16.5","34.9","24.9 (CI 16.5-34.9)","NHIS"
"2023","Composite measure of frequency and intensity of feelings of anxiety: How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never? AND Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?","RaceEthnicity","Asian, NH","5.1","4.0","6.4","5.1 (CI 4.0-6.4)","NHIS"
"2023","Composite measure of frequency and intensity of feelings of anxiety: How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never? AND Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?","RaceEthnicity","Black, NH","11.1","9.7","12.6","11.1 (CI 9.7-12.6)","NHIS"
"2023","Composite measure of frequency and intensity of feelings of anxiety: How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never? AND Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?","RaceEthnicity","Hispanic","10.1","9.1","11.2","10.1 (CI 9.1-11.2)","NHIS"
"2023","Composite measure of frequency and intensity of feelings of anxiety: How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never? AND Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?","RaceEthnicity","Multiple/Other, NH","19.5","15.5","24.0","19.5 (CI 15.5-24.0)","NHIS"
"2023","Composite measure of frequency and intensity of feelings of anxiety: How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never? AND Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?","RaceEthnicity","NHOPI, NH","Suppressed","Suppressed","Suppressed","Suppressed","NHIS"
"2023","Composite measure of frequency and intensity of feelings of anxiety: How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never? AND Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?","RaceEthnicity","White, NH","13.8","13.2","14.4","13.8 (CI 13.2-14.4)","NHIS"
"2023","Composite measure of frequency and intensity of feelings of anxiety: How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never? AND Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?","Sex","Female","15.1","14.4","15.9","15.1 (CI 14.4-15.9)","NHIS"
"2023","Composite measure of frequency and intensity of feelings of anxiety: How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never? AND Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?","Sex","Male","9.7","9.1","10.3","9.7 (CI 9.1-10.3)","NHIS"
"2023","Composite measure of frequency and intensity of feelings of anxiety: How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never? AND Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?","Total","Total","12.5","12.0","13.0","12.5 (CI 12.0-13.0)","NHIS"
"2022","Composite measure of frequency and intensity of feelings of anxiety: How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never? AND Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?","Age","18-34 years","17.4","16.3","18.6","17.4 (CI 16.3-18.6)","NHIS"
"2022","Composite measure of frequency and intensity of feelings of anxiety: How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never? AND Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?","Age","35-64 years","12.0","11.4","12.7","12.0 (CI 11.4-12.7)","NHIS"
"2022","Composite measure of frequency and intensity of feelings of anxiety: How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never? AND Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?","Age","65+ years","8.1","7.4","8.8","8.1 (CI 7.4-8.8)","NHIS"
"2022","Composite measure of frequency and intensity of feelings of anxiety: How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never? AND Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?","RaceEthnicity","AI/AN, NH","15.4","10.1","22.1","15.4 (CI 10.1-22.1)","NHIS"
"2022","Composite measure of frequency and intensity of feelings of anxiety: How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never? AND Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?","RaceEthnicity","Asian, NH","6.9","5.4","8.6","6.9 (CI 5.4-8.6)","NHIS"
"2022","Composite measure of frequency and intensity of feelings of anxiety: How often do you feel worried, nervous or anxious? Would you say daily, weekly, monthly, a few times a year, or never? AND Thinking about the last time you felt worried, nervous or anxious, how would you describe the level of these feelings? Would you say a little, a lot, or somewhere in between?","RaceEthnicity","Black, NH","10.8","9.4","12.3","10.8 (CI 9.4-12.3)","NHIS"
